=== C:\Users\jose ===
"GiB","Name","FullName","LastWriteTime"
"0","Agreement AMAIA FcoIgualada signed.pdf","C:\Users\jose\Downloads\Agreement AMAIA FcoIgualada signed.pdf","23/12/2024 1:04:46"
"0","staged_images (1).zip","C:\Users\jose\Downloads\staged_images (1).zip","17/06/2025 1:07:24"
"0","2501.09223v1.pdf","C:\Users\jose\Downloads\2501.09223v1.pdf","19/05/2025 14:49:20"
"0","We The People by Zero.pdf","C:\Users\jose\Downloads\We The People by Zero.pdf","02/02/2025 1:09:53"
"0","Brit J Clinical Pharma - 2022 - Abdel Shaheed - Immunomodulatory effects of pharmaceutical opioids and antipyretic.pdf","C:\Users\jose\Downloads\Brit J Clinical Pharma - 2022 - Abdel Shaheed - Immunomodulatory effects of pharmaceutical opioids and antipyretic.pdf","29/01/2025 19:03:05"
"0","Zeroism_By Zero.pdf","C:\Users\jose\Downloads\Zeroism_By Zero.pdf","02/02/2025 1:09:57"
"0","Exposé-W-02Z8S7-Deutsch (Deutschland).pdf","C:\Users\jose\Downloads\Exposé-W-02Z8S7-Deutsch (Deutschland).pdf","10/06/2025 23:57:21"
"0","250224_webinar-neotec-2025_finanziaconnect.pdf","C:\Users\jose\Downloads\250224_webinar-neotec-2025_finanziaconnect.pdf","25/02/2025 18:43:19"
"0","Estudio mercado videos salto (1).xlsx","C:\Users\jose\Downloads\Estudio mercado videos salto (1).xlsx","23/12/2024 1:03:41"
"0","Estudio mercado videos salto.xlsx","C:\Users\jose\Downloads\Estudio mercado videos salto.xlsx","23/12/2024 1:01:38"
"0","tailscale-setup-1.96.3.exe","C:\Users\jose\Downloads\tailscale-setup-1.96.3.exe","01/05/2026 22:36:52"
"0","NuevoDNI.pdf","C:\Users\jose\Downloads\NuevoDNI.pdf","28/02/2025 12:28:31"
"0","Introducción a la monitorización.pdf","C:\Users\jose\Downloads\Introducción a la monitorización.pdf","31/01/2025 19:44:28"
=== C:\Users\jose\Desktop ===
"GiB","Name","FullName","LastWriteTime"
"0,01","Video de WhatsApp 2025-03-02 a las 20.55.28_d343418f.mp4","C:\Users\jose\Desktop\Video de WhatsApp 2025-03-02 a las 20.55.28_d343418f.mp4","02/03/2025 21:11:24"
